"상가업소번호","상호명","지점명","상권업종대분류코드","상권업종대분류명","상권업종중분류코드","상권업종중분류명","상권업종소분류코드","상권업종소분류명","표준산업분류코드","표준산업분류명","시도코드","시도명","시군구코드","시군구명","행정동코드","행정동명","법정동코드","법정동명","지번코드","대지구분코드","대지구분명","지번본번지","지번부번지","지번주소","도로명코드","도로명","건물본번지","건물부번지","건물관리번호","건물명","도로명주소","구우편번호","신우편번호","동정보","층정보","호정보","경도","위도"
24959869,"산들녘농산물가공공","","D","소매","D01","음/식료품소매","D01A13","청과물소매","G47214","과실 및 채소 소매업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025025,"화순읍",4679025025200440067,1,"대지",44,67,"전라남도 화순군 화순읍 훈리 44-67",467903291042,"전라남도 화순군 화순읍 대교로",63,NA,"4679025025100440067000001","","전라남도 화순군 화순읍 대교로 63",519805,58112,"","",NA,126.986167317226,35.0635631002685
24945165,"고래고래노래연습장","","N","관광/여가/오락","N02","무도/유흥/가무","N02A01","노래방","R91223","노래연습장 운영업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025030,"화순읍",4679025030203080000,1,"대지",308,NA,"전라남도 화순군 화순읍 광덕리 308",467903291008,"전라남도 화순군 화순읍 만연로",18,NA,"4679025030103080000044772","","전라남도 화순군 화순읍 만연로 18",519803,58125,"","",NA,126.990367529456,35.0572251572185
26070788,"네일러브","","F","생활서비스","F01","이/미용/건강","F01A02","발/네일케어","S96119","기타미용업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025023,"화순읍",4679025023202310000,1,"대지",231,NA,"전라남도 화순군 화순읍 만연리 231",467903291004,"전라남도 화순군 화순읍 광덕로",170,NA,"4679025023102310000045057","화순부영아파트","전라남도 화순군 화순읍 광덕로 170",519752,58126,"103","1",NA,126.993142969937,35.0597451359036
24145484,"성림","","D","소매","D20","의약/의료품소매","D20A01","의료용품소매","G47811","의약품 및 의료용품 소매업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025030,"화순읍",4679025030201740001,1,"대지",174,1,"전라남도 화순군 화순읍 광덕리 174-1",467903291008,"전라남도 화순군 화순읍 만연로",11,NA,"4679025030101740001044627","","전라남도 화순군 화순읍 만연로 11",519803,58124,"","",NA,126.989605902451,35.0567590958902
14238696,"피지에이코리아커피숍","","Q","음식","Q12","커피점/카페","Q12A01","커피전문점/카페/다방","I56220","비알콜 음료점업",46,"전라남도",46790,"화순군",4679042000,"동면",4679042022,"동면",4679042022201530000,1,"대지",153,NA,"전라남도 화순군 동면 언도리 153",467903291053,"전라남도 화순군 동면 화동로",313,NA,"4679042022101530000001356","22CENTURYPGA골프장","전라남도 화순군 동면 화동로 313",519882,58133,"","2",NA,127.022205189261,35.0496346378806
21605150,"거성자동차유리","","D","소매","D23","자동차/자동차용품","D23A11","자동차유리전문점","G45219","기타 자동차신품 부품 및 내장품 판매업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025031,"화순읍",4679025031207100011,1,"대지",710,11,"전라남도 화순군 화순읍 삼천리 710-11",467903291015,"전라남도 화순군 화순읍 쌍충로",46,NA,"4679025031107100011041822","","전라남도 화순군 화순읍 쌍충로 46",519807,58122,"","1",NA,126.981909911854,35.055910522485
23045219,"다모아헤어샵","","F","생활서비스","F01","이/미용/건강","F01A01","여성미용실","S96112","두발미용업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025022,"화순읍",4679025022200830002,1,"대지",83,2,"전라남도 화순군 화순읍 향청리 83-2",467903291036,"전라남도 화순군 화순읍 칠충로",150,1,"4679025022100830002042448","","전라남도 화순군 화순읍 칠충로 150-1",519808,58119,"","1",NA,126.984346781493,35.0618442046263
8748618,"한국세탁소","","F","생활서비스","F02","세탁/가사서비스","F02A01","세탁소/빨래방","S96912","가정용 세탁업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025033,"화순읍",4679025033200370008,1,"대지",37,8,"전라남도 화순군 화순읍 대리 37-8",467903291036,"전라남도 화순군 화순읍 칠충로",83,11,"4679025033100370008041379","한국아델리움","전라남도 화순군 화순읍 칠충로 83-11",519760,58121,"","1",NA,126.978337601838,35.0584404946877
16641449,"모다","","Q","음식","Q12","커피점/카페","Q12A01","커피전문점/카페/다방","","",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025040,"화순읍",4679025040202010000,1,"대지",201,NA,"전라남도 화순군 화순읍 연양리 201",467903291038,"전라남도 화순군 화순읍 학포로",2615,NA,"4679025040102010000000001","","전라남도 화순군 화순읍 학포로 2615",519801,58141,"","",NA,126.962790357462,35.0430206420727
24861920,"다니엘서점","","D","소매","D13","책/서적/도서","D13A01","서점","G47611","서적 및 잡지류 소매업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025023,"화순읍",4679025023202380005,1,"대지",238,5,"전라남도 화순군 화순읍 만연리 238-5",467903291008,"전라남도 화순군 화순읍 만연로",72,4,"4679025023102380005000001","","전라남도 화순군 화순읍 만연로 72-4",519806,58117,"","",NA,126.991186782055,35.0619193122025
